,ssec,wti,ine
2019/7/31,7.17E-03,1.87E-02,1.52E-02
2019/8/1,8.12E-03,1.77E-02,1.70E-02
2019/8/2,8.93E-03,3.27E-02,1.55E-02
2019/8/3,1.18E-02,3.12E-02,2.88E-02
2019/8/4,1.31E-02,2.89E-02,2.59E-02
2019/8/5,1.38E-02,2.64E-02,2.03E-02
2019/8/6,1.44E-02,2.48E-02,1.68E-02
2019/8/7,1.44E-02,2.46E-02,1.59E-02
2019/8/8,1.05E-02,2.48E-02,2.22E-02
2019/8/9,1.02E-02,2.70E-02,2.39E-02
2019/8/10,9.38E-03,2.81E-02,1.95E-02
2019/8/11,7.82E-03,2.75E-02,1.87E-02
2019/8/12,8.50E-03,2.59E-02,1.96E-02
2019/8/13,1.18E-02,2.39E-02,2.13E-02
2019/8/14,9.84E-03,2.57E-02,1.72E-02
2019/8/15,8.46E-03,2.81E-02,2.45E-02
2019/8/16,7.58E-03,2.61E-02,2.11E-02
